Organisation,Scan Date,Scan Point Name,Scan Reference,Supplier Name,Product,Expiration Date,Quantity
Notuv - Denk Pharma,2021-06-29 21:01:25,DMO_1001000,3852,Red Cross,Metformin,2021-11-07 08:00:00,21
Notuv - Denk Pharma,2021-06-29 23:38:58,DMO_1001000,2713,Red Cross,Metformin,2023-01-20 08:00:00,32
Notuv - Denk Pharma,2021-06-30 21:08:41,DMO_1001000,1440,Bill Gates Foundation,Metformin,2022-10-31 08:00:00,40
Notuv - Denk Pharma,2021-07-01 03:33:46,DMO_1001000,4796,WHO,Metformin,2022-08-13 08:00:00,20
Notuv - Denk Pharma,2021-07-01 13:34:32,DMO_1001000,1019,Red Cross,Metformin,2022-06-22 08:00:00,1
Notuv - Denk Pharma,2021-07-01 17:12:48,DMO_1001000,3651,WHO,Metformin,2021-11-13 08:00:00,31
Notuv - Denk Pharma,2021-07-01 20:23:54,DMO_1001000,3517,WHO,Metformin,2022-11-04 08:00:00,47
Notuv - Denk Pharma,2021-07-01 23:47:03,DMO_1001000,1592,Red Cross,Metformin,2022-09-28 08:00:00,1
Notuv - Denk Pharma,2021-07-02 13:11:56,DMO_1001000,1014,WHO,Metformin,2023-04-20 08:00:00,33
Notuv - Denk Pharma,2021-07-02 16:40:57,DMO_1001000,3004,WHO,Metformin,2022-08-08 08:00:00,31
Notuv - Denk Pharma,2021-07-03 02:19:19,DMO_1001000,2820,WHO,Metformin,2023-05-31 08:00:00,41
Notuv - Denk Pharma,2021-07-03 04:36:48,DMO_1001000,1589,WHO,Metformin,2022-11-02 08:00:00,21
Notuv - Denk Pharma,2021-07-03 11:49:23,DMO_1001000,4670,Bill Gates Foundation,Metformin,2022-12-10 08:00:00,36
Notuv - Denk Pharma,2021-07-03 15:36:45,DMO_1001000,3288,Bill Gates Foundation,Metformin,2022-08-25 08:00:00,46
Notuv - Denk Pharma,2021-07-03 19:56:57,DMO_1001000,4532,WHO,Metformin,2022-04-19 08:00:00,22
Notuv - Denk Pharma,2021-07-03 20:54:06,DMO_1001000,2571,WHO,Metformin,2022-08-01 08:00:00,32
Notuv - Denk Pharma,2021-07-04 02:12:28,DMO_1001000,3565,Bill Gates Foundation,Metformin,2022-11-05 08:00:00,21
Notuv - Denk Pharma,2021-07-05 02:58:07,DMO_1001000,3201,Red Cross,Metformin,2021-11-23 08:00:00,24
Notuv - Denk Pharma,2021-07-05 03:01:31,DMO_1001000,3192,Red Cross,Metformin,2022-09-19 08:00:00,4
Notuv - Denk Pharma,2021-07-05 05:42:40,DMO_1001000,3993,Bill Gates Foundation,Metformin,2022-07-28 08:00:00,30
Notuv - Denk Pharma,2021-07-05 11:48:31,DMO_1001000,1222,WHO,Metformin,2022-08-19 08:00:00,47
Notuv - Denk Pharma,2021-07-05 21:25:55,DMO_1001000,3129,Red Cross,Metformin,2022-07-29 08:00:00,19
Notuv - Denk Pharma,2021-07-06 05:19:19,DMO_1001000,4205,WHO,Metformin,2023-06-15 08:00:00,4
Notuv - Denk Pharma,2021-07-06 13:22:38,DMO_1001000,1388,Red Cross,Metformin,2023-02-26 08:00:00,51
Notuv - Denk Pharma,2021-07-06 16:13:23,DMO_1001000,2548,WHO,Metformin,2023-07-14 08:00:00,23
Notuv - Denk Pharma,2021-07-07 02:14:47,DMO_1001000,3410,Red Cross,Metformin,2022-01-28 08:00:00,47
Notuv - Denk Pharma,2021-07-07 02:28:22,DMO_1001000,2605,WHO,Metformin,2022-02-19 08:00:00,58
Notuv - Denk Pharma,2021-07-07 04:52:29,DMO_1001000,4616,Bill Gates Foundation,Metformin,2022-08-16 08:00:00,1
Notuv - Denk Pharma,2021-07-07 06:03:18,DMO_1001000,4573,WHO,Metformin,2022-09-25 08:00:00,54
Notuv - Denk Pharma,2021-07-07 07:05:43,DMO_1001000,1850,Red Cross,Metformin,2023-04-12 08:00:00,26
Notuv - Denk Pharma,2021-07-07 15:12:30,DMO_1001000,4330,Red Cross,Metformin,2023-05-04 08:00:00,18
Notuv - Denk Pharma,2021-07-07 15:48:50,DMO_1001000,4287,Red Cross,Metformin,2023-05-24 08:00:00,41
Notuv - Denk Pharma,2021-07-07 17:30:17,DMO_1001000,1009,Red Cross,Metformin,2022-06-01 08:00:00,24
Notuv - Denk Pharma,2021-07-07 17:55:03,DMO_1001000,3034,Red Cross,Metformin,2023-03-26 08:00:00,44
Notuv - Denk Pharma,2021-07-07 18:23:29,DMO_1001000,2237,Red Cross,Metformin,2022-07-30 08:00:00,32
Notuv - Denk Pharma,2021-07-08 03:54:47,DMO_1001000,3924,Bill Gates Foundation,Metformin,2022-03-16 08:00:00,17
Notuv - Denk Pharma,2021-07-08 06:13:40,DMO_1001000,2798,Red Cross,Metformin,2022-09-11 08:00:00,22
Notuv - Denk Pharma,2021-07-08 14:29:01,DMO_1001000,4572,Bill Gates Foundation,Metformin,2021-12-27 08:00:00,10
Notuv - Denk Pharma,2021-07-08 14:55:19,DMO_1001000,3095,Bill Gates Foundation,Metformin,2023-05-14 08:00:00,53
Notuv - Denk Pharma,2021-07-08 16:53:16,DMO_1001000,4069,Red Cross,Metformin,2022-02-17 08:00:00,39
Notuv - Denk Pharma,2021-07-08 17:21:47,DMO_1001000,1509,Red Cross,Metformin,2022-10-14 08:00:00,1
Notuv - Denk Pharma,2021-07-08 18:43:15,DMO_1001000,1638,WHO,Metformin,2022-03-30 08:00:00,24
Notuv - Denk Pharma,2021-07-09 02:41:25,DMO_1001000,4608,Red Cross,Metformin,2023-06-01 08:00:00,19
Notuv - Denk Pharma,2021-07-09 02:55:02,DMO_1001000,2638,WHO,Metformin,2023-07-15 08:00:00,19
Notuv - Denk Pharma,2021-07-09 08:42:46,DMO_1001000,1786,WHO,Metformin,2022-01-17 08:00:00,50
Notuv - Denk Pharma,2021-07-09 10:07:00,DMO_1001000,3498,Red Cross,Metformin,2022-10-31 08:00:00,25
Notuv - Denk Pharma,2021-07-09 13:00:13,DMO_1001000,1524,Bill Gates Foundation,Metformin,2022-10-21 08:00:00,10
Notuv - Denk Pharma,2021-07-09 14:08:57,DMO_1001000,2639,WHO,Metformin,2022-12-26 08:00:00,45
Notuv - Denk Pharma,2021-07-09 14:14:13,DMO_1001000,2768,Red Cross,Metformin,2022-03-02 08:00:00,1
Notuv - Denk Pharma,2021-07-09 18:29:49,DMO_1001000,2846,Red Cross,Metformin,2023-01-25 08:00:00,34
Notuv - Denk Pharma,2021-07-09 19:27:12,DMO_1001000,2326,Red Cross,Metformin,2022-12-15 08:00:00,40
Notuv - Denk Pharma,2021-07-09 20:06:10,DMO_1001000,3229,WHO,Metformin,2021-12-17 08:00:00,13
Notuv - Denk Pharma,2021-07-09 20:13:35,DMO_1001000,4993,Red Cross,Metformin,2022-09-18 08:00:00,46
Notuv - Denk Pharma,2021-07-10 09:08:25,DMO_1001000,2015,Red Cross,Metformin,2023-06-20 08:00:00,22
Notuv - Denk Pharma,2021-07-10 11:50:41,DMO_1001000,4609,WHO,Metformin,2022-07-17 08:00:00,10
Notuv - Denk Pharma,2021-07-10 18:44:04,DMO_1001000,4599,WHO,Metformin,2023-04-17 08:00:00,20
Notuv - Denk Pharma,2021-07-11 01:17:16,DMO_1001000,2439,Red Cross,Metformin,2022-05-18 08:00:00,11
Notuv - Denk Pharma,2021-07-11 07:48:53,DMO_1001000,4455,WHO,Metformin,2022-08-08 08:00:00,9
Notuv - Denk Pharma,2021-07-11 14:51:15,DMO_1001000,3539,Bill Gates Foundation,Metformin,2023-05-30 08:00:00,7
Notuv - Denk Pharma,2021-07-11 17:11:00,DMO_1001000,3709,WHO,Metformin,2022-05-09 08:00:00,17
Notuv - Denk Pharma,2021-07-11 18:36:15,DMO_1001000,1209,WHO,Metformin,2021-11-12 08:00:00,13
Notuv - Denk Pharma,2021-07-11 18:56:50,DMO_1001000,3925,Red Cross,Metformin,2022-01-13 08:00:00,23
Notuv - Denk Pharma,2021-07-11 21:43:42,DMO_1001000,3006,Red Cross,Metformin,2023-01-16 08:00:00,41
Notuv - Denk Pharma,2021-07-11 22:55:26,DMO_1001000,2311,Red Cross,Metformin,2022-05-30 08:00:00,37
Notuv - Denk Pharma,2021-07-12 06:22:15,DMO_1001000,2549,Bill Gates Foundation,Metformin,2022-05-19 08:00:00,10
Notuv - Denk Pharma,2021-07-12 06:39:40,DMO_1001000,2600,Red Cross,Metformin,2023-01-13 08:00:00,36
Notuv - Denk Pharma,2021-07-12 16:52:48,DMO_1001000,4850,Red Cross,Metformin,2022-01-23 08:00:00,1
Notuv - Denk Pharma,2021-07-13 01:27:09,DMO_1001000,4535,Bill Gates Foundation,Metformin,2022-06-12 08:00:00,51
Notuv - Denk Pharma,2021-07-13 01:42:02,DMO_1001000,4965,Red Cross,Metformin,2022-06-09 08:00:00,20
Notuv - Denk Pharma,2021-07-13 06:36:37,DMO_1001000,3373,Bill Gates Foundation,Metformin,2022-10-07 08:00:00,3
Notuv - Denk Pharma,2021-07-13 10:14:14,DMO_1001000,3065,Red Cross,Metformin,2023-07-21 08:00:00,20
Notuv - Denk Pharma,2021-07-14 02:48:52,DMO_1001000,3296,Bill Gates Foundation,Metformin,2021-12-22 08:00:00,29
Notuv - Denk Pharma,2021-07-15 17:42:10,DMO_1001000,1119,Red Cross,Metformin,2022-11-14 08:00:00,32
Notuv - Denk Pharma,2021-07-16 03:45:24,DMO_1001000,1506,Red Cross,Metformin,2022-10-08 08:00:00,10
Notuv - Denk Pharma,2021-07-16 10:54:44,DMO_1001000,3646,Red Cross,Metformin,2023-07-14 08:00:00,1
Notuv - Denk Pharma,2021-07-16 11:06:55,DMO_1001000,4186,Red Cross,Metformin,2023-06-08 08:00:00,11
Notuv - Denk Pharma,2021-07-16 17:04:58,DMO_1001000,3950,WHO,Metformin,2022-10-24 08:00:00,1
Notuv - Denk Pharma,2021-07-17 01:46:30,DMO_1001000,4211,Red Cross,Metformin,2022-07-16 08:00:00,23
Notuv - Denk Pharma,2021-07-17 02:54:24,DMO_1001000,3126,Red Cross,Metformin,2022-11-24 08:00:00,37
Notuv - Denk Pharma,2021-07-17 03:50:37,DMO_1001000,2607,Red Cross,Metformin,2023-01-06 08:00:00,24
Notuv - Denk Pharma,2021-07-17 06:10:57,DMO_1001000,2190,WHO,Metformin,2021-12-16 08:00:00,43
Notuv - Denk Pharma,2021-07-17 08:42:08,DMO_1001000,2896,WHO,Metformin,2022-05-05 08:00:00,37
Notuv - Denk Pharma,2021-07-17 16:26:23,DMO_1001000,4753,Bill Gates Foundation,Metformin,2023-03-22 08:00:00,16
Notuv - Denk Pharma,2021-07-17 19:13:07,DMO_1001000,2995,Red Cross,Metformin,2022-07-03 08:00:00,21
Notuv - Denk Pharma,2021-07-18 13:24:28,DMO_1001000,2121,Red Cross,Metformin,2022-10-16 08:00:00,12
Notuv - Denk Pharma,2021-07-18 22:43:22,DMO_1001000,3844,Bill Gates Foundation,Metformin,2022-02-23 08:00:00,1
Notuv - Denk Pharma,2021-07-19 00:34:36,DMO_1001000,4743,Bill Gates Foundation,Metformin,2023-01-12 08:00:00,37
Notuv - Denk Pharma,2021-07-19 06:58:14,DMO_1001000,1202,Red Cross,Metformin,2022-05-21 08:00:00,40
Notuv - Denk Pharma,2021-07-19 07:18:53,DMO_1001000,3069,WHO,Metformin,2022-10-19 08:00:00,24
Notuv - Denk Pharma,2021-07-19 09:36:03,DMO_1001000,4107,Red Cross,Metformin,2023-03-10 08:00:00,19
Notuv - Denk Pharma,2021-07-20 00:26:51,DMO_1001000,1767,Bill Gates Foundation,Metformin,2023-04-02 08:00:00,18
Notuv - Denk Pharma,2021-07-20 10:48:13,DMO_1001000,3405,Red Cross,Metformin,2022-10-30 08:00:00,1
Notuv - Denk Pharma,2021-07-20 15:12:52,DMO_1001000,3243,Red Cross,Metformin,2022-06-01 08:00:00,1
Notuv - Denk Pharma,2021-07-20 20:07:20,DMO_1001000,3099,Red Cross,Metformin,2022-09-24 08:00:00,5
Notuv - Denk Pharma,2021-07-20 22:58:12,DMO_1001000,1258,Bill Gates Foundation,Metformin,2022-10-02 08:00:00,12
Notuv - Denk Pharma,2021-07-21 05:57:23,DMO_1001000,1758,Red Cross,Metformin,2022-09-15 08:00:00,29
Notuv - Denk Pharma,2021-07-21 06:18:44,DMO_1001000,1149,WHO,Metformin,2022-12-20 08:00:00,1
Notuv - Denk Pharma,2021-07-21 09:04:40,DMO_1001000,3287,WHO,Metformin,2022-12-20 08:00:00,13
Notuv - Denk Pharma,2021-07-21 11:12:19,DMO_1001000,1033,WHO,Metformin,2022-08-28 08:00:00,18
Notuv - Denk Pharma,2021-07-21 12:27:22,DMO_1001000,3013,Bill Gates Foundation,Metformin,2023-06-28 08:00:00,7
Notuv - Denk Pharma,2021-07-21 13:21:17,DMO_1001000,4377,WHO,Metformin,2023-03-04 08:00:00,1
Notuv - Denk Pharma,2021-07-21 14:21:29,DMO_1001000,3599,Red Cross,Metformin,2023-03-05 08:00:00,13
Notuv - Denk Pharma,2021-07-21 14:28:46,DMO_1001000,4585,Red Cross,Metformin,2023-02-07 08:00:00,36
Notuv - Denk Pharma,2021-07-21 14:34:47,DMO_1001000,4617,Bill Gates Foundation,Metformin,2023-06-22 08:00:00,29
Notuv - Denk Pharma,2021-07-21 17:33:53,DMO_1001000,4198,Red Cross,Metformin,2023-05-15 08:00:00,33
Notuv - Denk Pharma,2021-07-22 08:09:13,DMO_1001000,1848,WHO,Metformin,2023-04-26 08:00:00,19
Notuv - Denk Pharma,2021-07-22 13:02:13,DMO_1001000,4842,Bill Gates Foundation,Metformin,2023-04-21 08:00:00,17
Notuv - Denk Pharma,2021-07-22 14:13:02,DMO_1001000,1126,WHO,Metformin,2023-04-20 08:00:00,40
Notuv - Denk Pharma,2021-07-22 21:13:40,DMO_1001000,4764,Red Cross,Metformin,2022-09-29 08:00:00,11
Notuv - Denk Pharma,2021-07-22 23:17:09,DMO_1001000,2338,Bill Gates Foundation,Metformin,2022-10-10 08:00:00,17
Notuv - Denk Pharma,2021-07-22 23:36:14,DMO_1001000,4052,WHO,Metformin,2022-07-22 08:00:00,1
Notuv - Denk Pharma,2021-07-23 05:59:46,DMO_1001000,3948,Bill Gates Foundation,Metformin,2022-05-28 08:00:00,29
Notuv - Denk Pharma,2021-07-23 06:37:59,DMO_1001000,3591,Red Cross,Metformin,2022-03-03 08:00:00,19
Notuv - Denk Pharma,2021-07-23 08:56:17,DMO_1001000,2743,WHO,Metformin,2022-02-10 08:00:00,38
Notuv - Denk Pharma,2021-07-23 10:52:54,DMO_1001000,3741,Red Cross,Metformin,2022-05-11 08:00:00,42
Notuv - Denk Pharma,2021-07-23 15:19:05,DMO_1001000,2588,Red Cross,Metformin,2023-04-02 08:00:00,40
Notuv - Denk Pharma,2021-07-23 16:01:30,DMO_1001000,4504,WHO,Metformin,2023-05-29 08:00:00,48
Notuv - Denk Pharma,2021-07-23 18:12:38,DMO_1001000,1912,Red Cross,Metformin,2023-06-01 08:00:00,15
Notuv - Denk Pharma,2021-07-23 23:13:22,DMO_1001000,3276,WHO,Metformin,2023-02-25 08:00:00,9
Notuv - Denk Pharma,2021-07-24 04:05:46,DMO_1001000,2270,WHO,Metformin,2022-01-04 08:00:00,65
Notuv - Denk Pharma,2021-07-24 09:47:53,DMO_1001000,4279,Bill Gates Foundation,Metformin,2022-03-28 08:00:00,41
Notuv - Denk Pharma,2021-07-24 10:31:04,DMO_1001000,2606,Bill Gates Foundation,Metformin,2023-04-14 08:00:00,31
Notuv - Denk Pharma,2021-07-24 16:02:12,DMO_1001000,1961,Red Cross,Metformin,2023-02-19 08:00:00,5
Notuv - Denk Pharma,2021-07-24 16:05:00,DMO_1001000,3273,Red Cross,Metformin,2023-03-17 08:00:00,1
Notuv - Denk Pharma,2021-07-24 23:05:22,DMO_1001000,3552,Bill Gates Foundation,Metformin,2022-09-17 08:00:00,18
Notuv - Denk Pharma,2021-07-24 23:15:30,DMO_1001000,1373,Bill Gates Foundation,Metformin,2022-11-30 08:00:00,40
Notuv - Denk Pharma,2021-07-25 12:20:30,DMO_1001000,4739,Red Cross,Metformin,2022-12-19 08:00:00,35
Notuv - Denk Pharma,2021-07-25 17:08:04,DMO_1001000,1579,Red Cross,Metformin,2022-10-26 08:00:00,1
Notuv - Denk Pharma,2021-07-25 22:38:48,DMO_1001000,2633,Bill Gates Foundation,Metformin,2022-12-30 08:00:00,5
Notuv - Denk Pharma,2021-07-26 05:07:57,DMO_1001000,1054,Bill Gates Foundation,Metformin,2023-02-23 08:00:00,17
Notuv - Denk Pharma,2021-07-26 10:34:00,DMO_1001000,2543,WHO,Metformin,2022-01-12 08:00:00,10
Notuv - Denk Pharma,2021-07-26 10:59:22,DMO_1001000,4579,Red Cross,Metformin,2023-04-27 08:00:00,5
Notuv - Denk Pharma,2021-07-27 00:56:33,DMO_1001000,2833,WHO,Metformin,2022-09-25 08:00:00,35
Notuv - Denk Pharma,2021-07-27 05:51:05,DMO_1001000,2016,WHO,Metformin,2022-04-20 08:00:00,19
Notuv - Denk Pharma,2021-07-27 13:00:50,DMO_1001000,3302,WHO,Metformin,2023-05-08 08:00:00,43
Notuv - Denk Pharma,2021-07-27 20:49:12,DMO_1001000,4948,Red Cross,Metformin,2023-06-26 08:00:00,1
Notuv - Denk Pharma,2021-07-28 04:43:46,DMO_1001000,2958,Red Cross,Metformin,2022-12-15 08:00:00,33
Notuv - Denk Pharma,2021-07-28 13:09:11,DMO_1001000,3417,WHO,Metformin,2022-10-24 08:00:00,28
Notuv - Denk Pharma,2021-07-28 13:28:00,DMO_1001000,3884,Bill Gates Foundation,Metformin,2022-11-12 08:00:00,4
Notuv - Denk Pharma,2021-07-28 19:32:10,DMO_1001000,4173,Red Cross,Metformin,2022-04-26 08:00:00,37
Notuv - Denk Pharma,2021-07-28 22:55:50,DMO_1001000,2785,WHO,Metformin,2021-12-03 08:00:00,29
Notuv - Denk Pharma,2021-07-29 10:06:13,DMO_1001000,3707,WHO,Metformin,2022-01-25 08:00:00,31
Notuv - Denk Pharma,2021-07-29 11:08:24,DMO_1001000,1408,WHO,Metformin,2023-07-01 08:00:00,25
Notuv - Denk Pharma,2021-07-29 16:03:19,DMO_1001000,1810,Bill Gates Foundation,Metformin,2022-04-18 08:00:00,1
Notuv - Denk Pharma,2021-07-29 16:14:53,DMO_1001000,2079,Red Cross,Metformin,2022-04-21 08:00:00,23
Notuv - Denk Pharma,2021-07-29 18:34:26,DMO_1001000,2914,Bill Gates Foundation,Metformin,2022-07-08 08:00:00,53
Notuv - Denk Pharma,2021-07-29 20:41:19,DMO_1001000,2886,Red Cross,Metformin,2023-01-22 08:00:00,18
Notuv - Denk Pharma,2021-07-30 07:17:11,DMO_1001000,3763,Red Cross,Metformin,2022-07-06 08:00:00,34
Notuv - Denk Pharma,2021-07-30 12:16:34,DMO_1001000,1629,Red Cross,Metformin,2023-05-28 08:00:00,11
Notuv - Denk Pharma,2021-07-30 14:57:45,DMO_1001000,2153,Red Cross,Metformin,2021-11-01 08:00:00,25
Notuv - Denk Pharma,2021-07-31 00:48:58,DMO_1001000,1325,Red Cross,Metformin,2023-07-21 08:00:00,39
Notuv - Denk Pharma,2021-07-31 13:04:49,DMO_1001000,4311,Red Cross,Metformin,2023-01-06 08:00:00,10
Notuv - Denk Pharma,2021-07-31 15:56:38,DMO_1001000,2967,WHO,Metformin,2022-02-02 08:00:00,7
Notuv - Denk Pharma,2021-07-31 19:36:21,DMO_1001000,4023,Red Cross,Metformin,2023-04-22 08:00:00,15
Notuv - Denk Pharma,2021-07-31 20:15:43,DMO_1001000,3515,WHO,Metformin,2022-06-18 08:00:00,4
Notuv - Denk Pharma,2021-08-01 06:15:41,DMO_1001000,3992,Bill Gates Foundation,Metformin,2023-04-11 08:00:00,57
Notuv - Denk Pharma,2021-08-01 15:11:02,DMO_1001000,3454,Bill Gates Foundation,Metformin,2022-02-26 08:00:00,23
Notuv - Denk Pharma,2021-08-01 15:18:37,DMO_1001000,1159,Red Cross,Metformin,2021-11-16 08:00:00,13
Notuv - Denk Pharma,2021-08-01 16:22:03,DMO_1001000,2460,Bill Gates Foundation,Metformin,2022-08-07 08:00:00,20
Notuv - Denk Pharma,2021-08-02 11:13:35,DMO_1001000,1913,Red Cross,Metformin,2023-04-16 08:00:00,17
Notuv - Denk Pharma,2021-08-02 22:36:37,DMO_1001000,3435,Bill Gates Foundation,Metformin,2023-06-16 08:00:00,23
Notuv - Denk Pharma,2021-08-03 09:41:51,DMO_1001000,1736,WHO,Metformin,2022-01-28 08:00:00,40
Notuv - Denk Pharma,2021-08-03 13:37:54,DMO_1001000,4631,WHO,Metformin,2022-05-16 08:00:00,26
Notuv - Denk Pharma,2021-08-03 17:00:42,DMO_1001000,4469,Red Cross,Metformin,2023-02-11 08:00:00,4
Notuv - Denk Pharma,2021-08-03 19:35:35,DMO_1001000,4964,Red Cross,Metformin,2023-07-13 08:00:00,33
Notuv - Denk Pharma,2021-08-03 21:11:05,DMO_1001000,4618,WHO,Metformin,2023-02-13 08:00:00,11
Notuv - Denk Pharma,2021-08-04 05:14:53,DMO_1001000,2483,Bill Gates Foundation,Metformin,2022-04-20 08:00:00,28
Notuv - Denk Pharma,2021-08-04 10:57:13,DMO_1001000,3710,Red Cross,Metformin,2022-10-08 08:00:00,35
Notuv - Denk Pharma,2021-08-04 16:41:08,DMO_1001000,1539,Red Cross,Metformin,2022-04-16 08:00:00,22
Notuv - Denk Pharma,2021-08-04 16:53:24,DMO_1001000,3530,WHO,Metformin,2023-03-21 08:00:00,47
Notuv - Denk Pharma,2021-08-04 16:56:21,DMO_1001000,2238,WHO,Metformin,2023-03-03 08:00:00,36
Notuv - Denk Pharma,2021-08-04 17:31:00,DMO_1001000,1662,WHO,Metformin,2023-04-18 08:00:00,33
Notuv - Denk Pharma,2021-08-04 17:46:50,DMO_1001000,1032,Bill Gates Foundation,Metformin,2022-05-28 08:00:00,38
Notuv - Denk Pharma,2021-08-05 05:22:27,DMO_1001000,3330,Bill Gates Foundation,Metformin,2022-09-01 08:00:00,1
Notuv - Denk Pharma,2021-08-05 12:22:57,DMO_1001000,4333,WHO,Metformin,2022-04-03 08:00:00,26
Notuv - Denk Pharma,2021-08-06 05:22:52,DMO_1001000,1160,Bill Gates Foundation,Metformin,2023-07-20 08:00:00,20
Notuv - Denk Pharma,2021-08-06 11:47:38,DMO_1001000,3586,Bill Gates Foundation,Metformin,2022-08-21 08:00:00,15
Notuv - Denk Pharma,2021-08-06 19:34:47,DMO_1001000,4691,Bill Gates Foundation,Metformin,2022-01-22 08:00:00,28
Notuv - Denk Pharma,2021-08-06 20:46:27,DMO_1001000,2250,WHO,Metformin,2022-04-12 08:00:00,28
Notuv - Denk Pharma,2021-08-07 06:27:38,DMO_1001000,4689,WHO,Metformin,2022-06-30 08:00:00,26
Notuv - Denk Pharma,2021-08-07 08:52:17,DMO_1001000,2518,WHO,Metformin,2022-12-06 08:00:00,19
Notuv - Denk Pharma,2021-08-07 09:17:46,DMO_1001000,3875,Red Cross,Metformin,2022-11-28 08:00:00,47
Notuv - Denk Pharma,2021-08-07 11:20:26,DMO_1001000,3265,Bill Gates Foundation,Metformin,2022-07-29 08:00:00,1
Notuv - Denk Pharma,2021-08-07 19:21:49,DMO_1001000,4259,Bill Gates Foundation,Metformin,2022-07-04 08:00:00,14
Notuv - Denk Pharma,2021-08-07 22:08:01,DMO_1001000,3115,Red Cross,Metformin,2022-05-06 08:00:00,45
Notuv - Denk Pharma,2021-08-08 01:29:01,DMO_1001000,1627,WHO,Metformin,2021-12-27 08:00:00,47
Notuv - Denk Pharma,2021-08-08 08:18:20,DMO_1001000,2218,Bill Gates Foundation,Metformin,2022-08-13 08:00:00,35
Notuv - Denk Pharma,2021-08-08 09:36:31,DMO_1001000,1835,Bill Gates Foundation,Metformin,2022-01-03 08:00:00,27
Notuv - Denk Pharma,2021-08-08 15:33:36,DMO_1001000,1374,Bill Gates Foundation,Metformin,2022-06-12 08:00:00,1
Notuv - Denk Pharma,2021-08-08 20:33:40,DMO_1001000,2373,WHO,Metformin,2022-08-01 08:00:00,13
Notuv - Denk Pharma,2021-08-08 23:00:08,DMO_1001000,3432,Red Cross,Metformin,2022-12-01 08:00:00,34
Notuv - Denk Pharma,2021-08-09 11:00:56,DMO_1001000,4938,WHO,Metformin,2023-07-26 08:00:00,3
Notuv - Denk Pharma,2021-08-09 12:32:18,DMO_1001000,4746,Red Cross,Metformin,2023-02-04 08:00:00,9
Notuv - Denk Pharma,2021-08-09 20:12:32,DMO_1001000,2178,Bill Gates Foundation,Metformin,2022-07-26 08:00:00,59
Notuv - Denk Pharma,2021-08-09 20:45:34,DMO_1001000,1846,Red Cross,Metformin,2023-06-22 08:00:00,22
