,Organisation,Scan Date,Scan Point Name,Scan Reference,Supplier Name,Product,Expiration Date,Quantity
0,Notuv - Denk Pharma,2021-06-29 19:15:52,DMO_1001000,1526,Red Cross,Metformin,2023-07-06 08:00:00,15
1,Notuv - Denk Pharma,2021-06-30 11:22:53,DMO_1001000,2067,Red Cross,Metformin,2023-05-11 08:00:00,68
2,Notuv - Denk Pharma,2021-06-30 12:30:22,DMO_1001000,3499,Red Cross,Metformin,2022-05-09 08:00:00,38
3,Notuv - Denk Pharma,2021-06-30 14:10:15,DMO_1001000,1243,Bill Gates Foundation,Metformin,2021-11-15 08:00:00,1
4,Notuv - Denk Pharma,2021-06-30 16:35:02,DMO_1001000,4486,Bill Gates Foundation,Metformin,2022-06-27 08:00:00,39
5,Notuv - Denk Pharma,2021-06-30 16:55:14,DMO_1001000,4079,WHO,Metformin,2022-12-07 08:00:00,140
6,Notuv - Denk Pharma,2021-07-01 14:26:16,DMO_1001000,1489,Red Cross,Metformin,2022-12-03 08:00:00,87
7,Notuv - Denk Pharma,2021-07-01 17:35:44,DMO_1001000,2098,WHO,Metformin,2021-11-04 08:00:00,4
8,Notuv - Denk Pharma,2021-07-02 05:50:21,DMO_1001000,3014,WHO,Metformin,2022-02-28 08:00:00,43
9,Notuv - Denk Pharma,2021-07-02 06:34:25,DMO_1001000,3138,Bill Gates Foundation,Metformin,2023-05-10 08:00:00,114
10,Notuv - Denk Pharma,2021-07-02 12:26:49,DMO_1001000,1824,WHO,Metformin,2023-04-17 08:00:00,147
11,Notuv - Denk Pharma,2021-07-02 15:18:05,DMO_1001000,4722,Red Cross,Metformin,2022-12-30 08:00:00,76
12,Notuv - Denk Pharma,2021-07-02 20:53:36,DMO_1001000,3191,Red Cross,Metformin,2022-11-01 08:00:00,26
13,Notuv - Denk Pharma,2021-07-03 08:47:39,DMO_1001000,2515,WHO,Metformin,2022-11-16 08:00:00,94
14,Notuv - Denk Pharma,2021-07-03 09:33:13,DMO_1001000,3849,Red Cross,Metformin,2022-04-25 08:00:00,70
15,Notuv - Denk Pharma,2021-07-03 09:52:33,DMO_1001000,1299,WHO,Metformin,2022-03-29 08:00:00,133
16,Notuv - Denk Pharma,2021-07-03 16:38:21,DMO_1001000,1141,WHO,Metformin,2022-05-09 08:00:00,80
17,Notuv - Denk Pharma,2021-07-03 19:16:02,DMO_1001000,2449,Red Cross,Metformin,2022-08-26 08:00:00,61
18,Notuv - Denk Pharma,2021-07-03 20:08:21,DMO_1001000,3056,Bill Gates Foundation,Metformin,2023-06-05 08:00:00,106
19,Notuv - Denk Pharma,2021-07-04 00:32:13,DMO_1001000,2192,Red Cross,Metformin,2023-02-06 08:00:00,32
20,Notuv - Denk Pharma,2021-07-04 12:29:06,DMO_1001000,4072,Red Cross,Metformin,2022-06-24 08:00:00,91
21,Notuv - Denk Pharma,2021-07-04 13:01:12,DMO_1001000,3298,Bill Gates Foundation,Metformin,2022-08-09 08:00:00,38
22,Notuv - Denk Pharma,2021-07-04 19:00:57,DMO_1001000,2225,WHO,Metformin,2023-05-05 08:00:00,83
23,Notuv - Denk Pharma,2021-07-04 22:51:21,DMO_1001000,4775,Red Cross,Metformin,2022-08-15 08:00:00,167
24,Notuv - Denk Pharma,2021-07-05 00:35:48,DMO_1001000,4970,Bill Gates Foundation,Metformin,2022-12-31 08:00:00,27
25,Notuv - Denk Pharma,2021-07-05 01:43:00,DMO_1001000,3036,WHO,Metformin,2022-03-10 08:00:00,109
26,Notuv - Denk Pharma,2021-07-05 05:18:23,DMO_1001000,1096,Red Cross,Metformin,2023-03-31 08:00:00,98
27,Notuv - Denk Pharma,2021-07-05 12:17:23,DMO_1001000,2554,Bill Gates Foundation,Metformin,2022-06-29 08:00:00,34
28,Notuv - Denk Pharma,2021-07-05 14:58:38,DMO_1001000,2681,Red Cross,Metformin,2022-03-31 08:00:00,45
29,Notuv - Denk Pharma,2021-07-05 15:37:27,DMO_1001000,2451,Bill Gates Foundation,Metformin,2023-03-10 08:00:00,120
30,Notuv - Denk Pharma,2021-07-05 23:36:00,DMO_1001000,3075,WHO,Metformin,2022-07-11 08:00:00,58
31,Notuv - Denk Pharma,2021-07-05 23:51:55,DMO_1001000,1522,Bill Gates Foundation,Metformin,2023-06-30 08:00:00,1
32,Notuv - Denk Pharma,2021-07-06 18:58:53,DMO_1001000,1952,Red Cross,Metformin,2021-12-02 08:00:00,31
33,Notuv - Denk Pharma,2021-07-07 00:22:06,DMO_1001000,4109,WHO,Metformin,2023-01-26 08:00:00,118
34,Notuv - Denk Pharma,2021-07-07 00:56:54,DMO_1001000,3904,WHO,Metformin,2023-06-03 08:00:00,64
35,Notuv - Denk Pharma,2021-07-07 10:18:15,DMO_1001000,3630,WHO,Metformin,2023-03-25 08:00:00,38
36,Notuv - Denk Pharma,2021-07-07 11:49:41,DMO_1001000,4399,Red Cross,Metformin,2023-04-17 08:00:00,32
37,Notuv - Denk Pharma,2021-07-07 13:44:53,DMO_1001000,2527,Red Cross,Metformin,2021-12-06 08:00:00,1
38,Notuv - Denk Pharma,2021-07-08 00:31:17,DMO_1001000,1669,WHO,Metformin,2023-02-28 08:00:00,59
39,Notuv - Denk Pharma,2021-07-08 05:42:43,DMO_1001000,2827,Red Cross,Metformin,2023-01-02 08:00:00,1
40,Notuv - Denk Pharma,2021-07-08 11:21:26,DMO_1001000,3432,Red Cross,Metformin,2022-02-11 08:00:00,1
41,Notuv - Denk Pharma,2021-07-08 11:40:01,DMO_1001000,4166,Bill Gates Foundation,Metformin,2022-12-01 08:00:00,1
42,Notuv - Denk Pharma,2021-07-08 20:48:59,DMO_1001000,1307,WHO,Metformin,2022-07-13 08:00:00,52
43,Notuv - Denk Pharma,2021-07-09 00:43:54,DMO_1001000,1954,Bill Gates Foundation,Metformin,2022-02-01 08:00:00,1
44,Notuv - Denk Pharma,2021-07-09 19:40:16,DMO_1001000,1916,Bill Gates Foundation,Metformin,2022-04-21 08:00:00,1
45,Notuv - Denk Pharma,2021-07-09 23:27:15,DMO_1001000,4711,Red Cross,Metformin,2022-07-30 08:00:00,69
46,Notuv - Denk Pharma,2021-07-10 06:06:22,DMO_1001000,1307,Bill Gates Foundation,Metformin,2022-03-22 08:00:00,1
47,Notuv - Denk Pharma,2021-07-10 08:13:48,DMO_1001000,1512,Red Cross,Metformin,2023-04-12 08:00:00,96
48,Notuv - Denk Pharma,2021-07-10 11:40:13,DMO_1001000,2040,Bill Gates Foundation,Metformin,2021-11-16 08:00:00,76
49,Notuv - Denk Pharma,2021-07-10 15:57:56,DMO_1001000,4778,Bill Gates Foundation,Metformin,2023-07-22 08:00:00,60
50,Notuv - Denk Pharma,2021-07-10 17:42:05,DMO_1001000,4120,WHO,Metformin,2022-06-28 08:00:00,48
51,Notuv - Denk Pharma,2021-07-10 18:27:15,DMO_1001000,2574,WHO,Metformin,2022-02-25 08:00:00,53
52,Notuv - Denk Pharma,2021-07-11 02:50:12,DMO_1001000,4948,WHO,Metformin,2022-11-26 08:00:00,14
53,Notuv - Denk Pharma,2021-07-11 15:25:55,DMO_1001000,4645,Red Cross,Metformin,2022-05-10 08:00:00,55
54,Notuv - Denk Pharma,2021-07-11 21:28:40,DMO_1001000,1911,Bill Gates Foundation,Metformin,2023-06-11 08:00:00,64
55,Notuv - Denk Pharma,2021-07-12 00:04:26,DMO_1001000,4890,Red Cross,Metformin,2021-12-03 08:00:00,43
56,Notuv - Denk Pharma,2021-07-12 05:57:48,DMO_1001000,4834,Red Cross,Metformin,2023-01-16 08:00:00,14
57,Notuv - Denk Pharma,2021-07-12 08:51:14,DMO_1001000,1608,Bill Gates Foundation,Metformin,2023-07-07 08:00:00,142
58,Notuv - Denk Pharma,2021-07-12 09:52:52,DMO_1001000,3761,WHO,Metformin,2022-10-08 08:00:00,96
59,Notuv - Denk Pharma,2021-07-12 10:57:05,DMO_1001000,3581,Red Cross,Metformin,2022-07-26 08:00:00,133
60,Notuv - Denk Pharma,2021-07-12 12:13:37,DMO_1001000,1507,WHO,Metformin,2023-02-26 08:00:00,36
61,Notuv - Denk Pharma,2021-07-12 23:59:32,DMO_1001000,3020,WHO,Metformin,2022-08-20 08:00:00,92
62,Notuv - Denk Pharma,2021-07-13 05:59:56,DMO_1001000,3024,Bill Gates Foundation,Metformin,2022-10-12 08:00:00,84
63,Notuv - Denk Pharma,2021-07-13 15:53:40,DMO_1001000,1071,Red Cross,Metformin,2021-12-25 08:00:00,1
64,Notuv - Denk Pharma,2021-07-13 20:00:21,DMO_1001000,2424,Bill Gates Foundation,Metformin,2023-01-19 08:00:00,55
65,Notuv - Denk Pharma,2021-07-14 01:15:56,DMO_1001000,2581,WHO,Metformin,2022-03-28 08:00:00,128
66,Notuv - Denk Pharma,2021-07-14 01:16:44,DMO_1001000,2820,WHO,Metformin,2021-12-27 08:00:00,89
67,Notuv - Denk Pharma,2021-07-14 02:21:02,DMO_1001000,4401,Bill Gates Foundation,Metformin,2022-06-29 08:00:00,145
68,Notuv - Denk Pharma,2021-07-14 06:15:28,DMO_1001000,1386,WHO,Metformin,2022-09-08 08:00:00,1
69,Notuv - Denk Pharma,2021-07-14 17:29:53,DMO_1001000,3156,Red Cross,Metformin,2023-03-14 08:00:00,2
70,Notuv - Denk Pharma,2021-07-14 17:32:13,DMO_1001000,1873,Red Cross,Metformin,2022-06-19 08:00:00,57
71,Notuv - Denk Pharma,2021-07-14 22:26:02,DMO_1001000,2795,Bill Gates Foundation,Metformin,2022-09-04 08:00:00,68
72,Notuv - Denk Pharma,2021-07-15 03:27:03,DMO_1001000,1820,Red Cross,Metformin,2022-09-08 08:00:00,142
73,Notuv - Denk Pharma,2021-07-15 20:03:26,DMO_1001000,3170,Red Cross,Metformin,2023-02-14 08:00:00,1
74,Notuv - Denk Pharma,2021-07-15 21:26:46,DMO_1001000,1146,WHO,Metformin,2023-06-08 08:00:00,138
75,Notuv - Denk Pharma,2021-07-16 10:59:15,DMO_1001000,4210,Red Cross,Metformin,2022-03-15 08:00:00,77
76,Notuv - Denk Pharma,2021-07-17 04:54:36,DMO_1001000,4808,Red Cross,Metformin,2023-01-28 08:00:00,1
