Month;Sales
01/01/2021;266.0
01/02/2021;145.9
01/03/2021;183.1
01/04/2021;119.3
01/05/2021;180.3
01/06/2021;168.5
01/07/2021;231.8
01/08/2021;224.5
01/09/2021;192.8
01/10/2021;122.9
01/11/2021;336.5
01/12/2021;185.9
02/01/2021;194.3
02/02/2021;149.5
02/03/2021;210.1
02/04/2021;273.3
02/05/2021;191.4
02/06/2021;287.0
02/07/2021;226.0
02/08/2021;303.6
02/09/2021;289.9
02/10/2021;421.6
02/11/2021;264.5
02/12/2021;342.3
03/01/2021;339.7
03/02/2021;440.4
03/03/2021;315.9
03/04/2021;439.3
03/05/2021;401.3
03/06/2021;437.4
03/07/2021;575.5
03/08/2021;407.6
03/09/2021;682.0
03/10/2021;475.3
03/11/2021;581.3
03/12/2021;646.9
